Date(UTC),Latitude,Longitude,Depth,Magnitude
2016-01-27 14:35:33,-19.19,-69.37,105,4.0
2016-01-27 13:16:35,-30.66,-71.69,33,4.8
2016-01-26 01:35:13,-30.72,-71.45,48,4.4
2016-01-26 00:19:11,-32.65,-71.85,30,5.1
2016-01-21 13:36:09,-30.39,-71.52,44,4.6
2016-01-21 06:07:02,-30.51,-71.22,57,4.4
2016-01-19 21:45:26,-30.46,-71.7,34,4.2
2016-01-19 11:39:40,-22.97,-69.01,96,5.1
2016-01-19 07:08:48,-32.11,-71.22,83,4.1
2016-01-17 17:05:39,-26.44,-70.87,55,4.2
2016-01-17 15:28:40,-21.34,-68.89,91,5.0
2016-01-16 11:30:18,-41.73,-73.99,45,4.0
2016-01-16 00:37:25,-36.71,-72.56,67,4.0
2016-01-14 00:29:40,-28.65,-70.08,110,4.2
2016-01-13 12:20:40,-19.28,-70.13,53,4.8
2016-01-12 19:01:53,-30.7,-71.61,43,4.9
2016-01-10 13:33:35,-31.32,-71.73,42,5.0
2016-01-10 04:36:38,-36.4,-72.73,39,4.9
2016-01-09 09:03:38,-19.83,-69.12,104,4.6
2016-01-08 18:41:02,-32.94,-70.68,93,4.7
2016-01-08 12:12:36,-41.71,-74.12,42,4.5
2016-01-08 01:11:59,-30.67,-71.66,32,6.0
2016-01-07 15:40:43,-41.72,-74.15,41,5.3
2016-01-07 02:09:43,-30.63,-71.62,36,4.9
2016-01-06 12:41:08,-21.61,-70.34,37,4.5
2016-01-05 17:45:55,-20.01,-69.15,101,4.1
2015-12-30 21:29:22,-30.7,-71.62,28,4.3
2015-12-28 14:36:47,-29.33,-71.88,35,4.4
2015-12-28 07:25:36,-31.63,-70.64,117,4.2
2015-12-27 23:47:09,-31.78,-71.66,48,4.8
2015-12-27 21:59:13,-20.71,-69.26,103,4.1
2015-12-27 16:13:49,-30.63,-71.16,59,4.1
2015-12-27 12:34:28,-20.69,-68.8,105,4.5
2015-12-26 17:59:39,-31.75,-71.93,41,4.8
2015-12-26 17:58:09,-31.76,-72.1,32,4.9
2015-12-25 15:11:50,-30.59,-71.29,60,4.5
2015-12-24 10:42:18,-35.45,-72.99,36,4.7
2015-12-23 23:53:34,-20.54,-69.22,112,4.4
2015-12-23 15:45:00,-20.35,-68.94,106,4.5
2015-12-23 09:15:37,-31.06,-71.34,57,4.5
2015-12-22 18:46:39,-30.8,-71.25,62,4.6
2015-12-21 17:04:51,-31.54,-71.41,48,4.2
2015-12-20 22:51:37,-30.59,-71.25,62,4.0
2015-12-19 19:25:05,-30.64,-71.31,50,6.0
2015-12-18 02:34:36,-30.62,-71.67,39,4.2
2015-12-17 22:56:16,-30.63,-71.66,41,4.3
2015-12-17 06:55:57,-30.38,-71.68,25,4.5
2015-12-17 04:18:59,-30.75,-71.39,53,4.4
2015-12-16 00:35:59,-27.28,-70.0,104,4.1
2015-12-15 04:51:03,-29.35,-71.99,23,4.7
2015-12-15 04:22:58,-30.7,-71.72,35,4.1
2015-12-13 12:08:29,-30.63,-71.61,32,4.1
2015-12-12 15:08:58,-35.08,-71.92,51,4.9
2015-12-12 03:48:13,-25.54,-70.48,58,4.3
2015-12-11 22:07:38,-19.75,-69.24,98,4.4
2015-12-10 07:50:03,-20.66,-69.19,105,4.2
2015-12-10 00:37:37,-30.98,-71.33,59,4.3
2015-12-10 00:17:06,-35.83,-73.74,20,4.0
2015-12-10 00:09:24,-35.91,-73.56,14,5.3
2015-12-08 12:56:07,-30.84,-71.71,40,5.6
2015-12-07 07:51:13,-31.13,-71.26,47,5.5
2015-12-05 10:29:18,-22.54,-70.32,39,4.7
2015-12-04 08:44:37,-30.8,-71.46,53,4.5
2015-12-03 21:09:46,-20.78,-69.25,104,4.0
2015-12-03 14:55:39,-22.52,-68.81,87,4.2
2015-12-03 08:32:45,-29.84,-71.54,48,5.1
2015-12-02 15:13:49,-19.67,-69.27,101,4.4
2015-12-01 14:29:22,-30.65,-71.54,44,4.0
2015-12-01 13:39:56,-16.58,-71.3,128,5.3
2015-12-01 12:08:33,-30.29,-71.51,51,5.1
2015-12-01 07:26:13,-31.59,-71.36,41,4.7
2015-12-01 03:04:04,-30.41,-71.63,18,4.6
2015-11-30 14:45:24,-24.31,-67.46,208,5.5
2015-11-29 00:47:50,-30.34,-71.54,17,4.2
2015-11-28 06:08:34,-30.66,-71.76,37,4.5
2015-11-28 05:44:37,-30.34,-72.34,32,5.4
2015-11-27 21:45:13,-24.74,-70.55,39,5.0
2015-11-27 21:00:21,-24.78,-70.55,37,6.3
2015-11-25 04:04:11,-19.96,-69.19,105,4.0
2015-11-24 23:42:08,-31.75,-71.69,41,4.1
2015-11-22 22:16:54,-23.63,-69.05,97,5.1
2015-11-22 15:23:57,-30.26,-71.58,40,4.3
2015-11-22 12:49:00,-30.68,-71.65,67,4.4
2015-11-22 05:57:39,-30.41,-71.71,38,4.8
2015-11-21 23:05:28,-30.61,-71.8,35,6.0
2015-11-21 22:16:58,-30.64,-71.67,38,4.3
2015-11-21 22:12:36,-30.63,-71.66,36,4.5
2015-11-21 19:37:57,-31.59,-71.72,45,4.3
2015-11-21 16:11:34,-34.95,-71.63,47,4.2
2015-11-21 00:12:34,-32.97,-70.29,106,4.5
2015-11-19 05:02:20,-30.25,-71.78,5,4.2
2015-11-18 06:13:17,-19.34,-69.39,108,4.6
2015-11-17 13:16:27,-30.68,-71.36,54,4.5
2015-11-16 09:57:07,-30.59,-71.27,47,4.0
2015-11-16 04:55:36,-18.79,-69.94,85,4.5
2015-11-16 01:57:10,-31.6,-71.42,27,4.0
2015-11-15 21:48:01,-22.56,-68.91,102,4.1
2015-11-15 05:18:30,-30.71,-71.38,50,4.0
2015-11-14 12:58:19,-30.74,-71.41,44,4.3
2015-11-11 07:59:32,-31.77,-71.52,35,4.4
2015-11-11 02:46:16,-29.55,-72.26,12,6.9
2015-11-11 02:23:41,-29.46,-71.76,15,5.1
2015-11-11 01:54:36,-29.46,-72.12,33,6.9
2015-11-10 23:48:26,-29.5,-71.97,53,5.0
2015-11-10 19:38:22,-30.82,-71.42,50,4.3
2015-11-10 17:48:22,-22.25,-68.81,126,5.4
2015-11-10 12:58:37,-30.8,-71.46,57,5.0
2015-11-09 04:46:27,-23.48,-69.03,116,5.4
2015-11-08 08:13:37,-17.47,-69.79,194,5.5
2015-11-07 23:56:21,-30.71,-71.39,47,4.5
2015-11-07 15:16:56,-30.83,-71.4,49,4.0
2015-11-07 11:51:29,-30.7,-71.63,28,4.3
2015-11-07 10:53:42,-30.72,-71.37,48,6.0
2015-11-07 10:38:24,-30.78,-71.4,55,4.3
2015-11-07 10:31:19,-30.77,-71.36,47,4.9
2015-11-07 09:16:59,-30.82,-71.38,50,4.4
2015-11-07 07:31:41,-30.87,-71.43,48,6.8
2015-11-07 07:04:31,-29.47,-72.35,15,6.0
2015-11-06 11:44:49,-19.99,-68.95,106,4.6
2015-11-06 08:44:09,-30.16,-72.13,42,5.1
2015-11-05 17:02:39,-30.71,-71.76,33,4.8
2015-11-05 01:28:45,-30.68,-71.39,41,4.3
2015-11-03 21:30:17,-30.8,-71.41,50,4.0
2015-11-03 01:43:30,-30.64,-71.72,36,4.9
2015-11-01 15:16:16,-23.23,-68.53,115,5.9
2015-11-01 01:28:39,-38.82,-73.42,50,5.1
2015-10-30 03:05:10,-19.3,-69.62,97,4.0
2015-10-29 14:08:57,-30.62,-71.64,43,4.3
2015-10-29 10:28:21,-28.78,-70.19,91,4.0
2015-10-28 19:45:04,-23.25,-69.29,75,4.7
2015-10-28 09:08:00,-23.15,-70.61,31,4.5
2015-10-28 04:54:55,-30.85,-71.38,52,4.2
2015-10-28 04:12:07,-30.32,-71.51,40,4.7
2015-10-27 18:32:29,-32.77,-71.75,38,4.1
2015-10-25 13:13:45,-29.72,-71.2,44,4.7
2015-10-25 05:46:23,-20.39,-68.97,111,4.6
2015-10-25 04:02:41,-41.93,-73.55,53,4.5
2015-10-24 21:24:44,-31.44,-71.43,51,5.0
2015-10-24 19:06:06,-30.52,-71.65,37,4.2
2015-10-24 14:52:23,-30.04,-71.31,52,4.0
2015-10-23 01:52:56,-32.51,-71.72,33,4.2
2015-10-22 20:22:28,-30.39,-71.69,25,4.5
2015-10-22 00:02:55,-30.32,-71.66,35,4.5
2015-10-21 18:45:46,-30.83,-71.38,50,5.0
2015-10-21 14:39:18,-20.37,-69.3,100,4.8
2015-10-20 23:55:48,-30.82,-71.4,50,4.3
2015-10-20 21:45:25,-30.4,-71.6,17,4.5
2015-10-20 10:06:13,-30.74,-71.44,50,5.2
2015-10-20 04:06:54,-30.76,-71.46,50,5.0
2015-10-20 04:01:27,-29.98,-71.02,85,4.0
2015-10-19 17:57:02,-30.71,-71.43,50,4.5
2015-10-19 14:37:51,-33.47,-70.85,76,4.5
2015-10-19 02:41:00,-34.8,-71.67,52,4.4
2015-10-18 18:48:51,-19.46,-69.31,108,4.2
2015-10-18 12:48:43,-35.97,-72.67,50,5.0
